turn_id,risk_indicators,protective_factors,net_risk
0,0,0,0
1,1,0,1
4,1,0,1
6,1,0,1
8,0,1,-1
10,2,0,2
12,0,0,0
14,0,0,0
15,0,0,0
17,0,0,0
18,0,0,0
20,0,0,0
22,1,0,1
24,0,0,0
25,0,0,0
27,0,0,0
29,1,0,1
31,2,0,2
32,2,0,2
34,2,4,-2
37,0,0,0
39,1,2,-1
41,0,0,0
43,0,0,0
45,0,0,0
47,0,1,-1
49,0,1,-1
51,0,0,0
53,0,0,0
55,0,0,0
57,0,0,0
58,0,0,0
60,0,0,0
62,2,0,2
64,0,0,0
66,0,0,0
67,3,0,3
69,0,0,0
71,1,0,1
73,0,0,0
75,0,0,0
77,0,0,0
79,0,0,0
81,0,0,0
83,1,0,1
84,0,0,0
86,0,0,0
88,0,0,0
90,0,0,0
92,0,0,0
94,0,0,0
96,0,0,0
98,1,0,1
100,0,0,0
102,0,0,0
103,0,0,0
105,0,0,0
107,0,0,0
109,0,0,0
111,1,1,0
113,0,0,0
115,0,0,0
117,0,1,-1
118,0,1,-1
120,0,0,0
121,3,0,3
123,0,0,0
124,0,0,0
127,3,1,2
129,0,0,0
131,0,0,0
133,0,0,0
135,0,0,0
137,0,0,0
139,0,0,0
141,0,0,0
143,0,1,-1
145,0,0,0
147,0,0,0
149,0,0,0
151,0,0,0
153,0,0,0
155,0,0,0
157,0,0,0
158,0,0,0
160,0,0,0
162,2,0,2
163,0,0,0
165,0,0,0
167,0,0,0
168,0,0,0
170,0,0,0
171,0,0,0
173,0,0,0
175,0,0,0
177,0,0,0
179,0,0,0
181,0,0,0
183,0,0,0
186,0,0,0
188,0,0,0
189,0,0,0
192,0,0,0
194,1,0,1
195,0,0,0
197,0,0,0
199,0,0,0
201,1,1,0
202,1,0,1
204,2,0,2
206,0,0,0
209,0,0,0
211,0,0,0
212,1,0,1
214,0,0,0
216,1,0,1
218,0,0,0
220,3,0,3
222,0,0,0
